Region,Level,Item,production
EU27,Activity,"Composting of food waste, incl. land application",14978905.584826795
EU27,Activity,"Composting of paper and wood, incl. land application",63877.639749527785
EU27,Activity,Computer and related activities (72),379371.70687248674
EU27,Activity,Construction (45),1696108.491451031
EU27,Activity,Copper production,1999171.610654386
EU27,Activity,Cultivation of cereal grains nec,124638799.91267732
EU27,Activity,Cultivation of crops nec,372948.08645102277
EU27,Activity,Cultivation of oil seeds,24201249.624425158
EU27,Activity,Cultivation of paddy rice,2649643.8248014143
EU27,Activity,Cultivation of plant-based fibers,1066029.6858723857
EU27,Activity,"Cultivation of sugar cane, sugar beet",26160517.093638126
EU27,Activity,"Cultivation of vegetables, fruit, nuts",46833817.05306736
EU27,Activity,Cultivation of wheat,104981581.97218765
EU27,Activity,Distribution and trade of electricity,142086.92913266015
EU27,Activity,Distribution of gaseous fuels through mains,120377.60288961386
EU27,Activity,Education (80),703769.0726172776
EU27,Activity,Extra-territorial organizations and bodies,0.0
EU27,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",27948657.914564878
EU27,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",104925449.10240114
EU27,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0
EU27,Activity,"Financial intermediation, except insurance and pension funding (65)",584235.5417618454
EU27,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",998239.1028698871
EU27,Activity,"Forestry, logging and related service activities (02)",256542423.20234329
EU27,Activity,Health and social work (85),1291075.3152738663
EU27,Activity,Hotels and restaurants (55),704740.4256630227
EU27,Activity,Incineration of waste: Food,6867279.882148296
EU27,Activity,Incineration of waste: Metals and Inert materials,260423303.2131355
EU27,Activity,Incineration of waste: Oil/Hazardous waste,8380789.631234112
EU27,Activity,Incineration of waste: Paper,6411411.72338385
EU27,Activity,Incineration of waste: Plastic,31875895.644014765
EU27,Activity,Incineration of waste: Textiles,2126088.9955813806
EU27,Activity,Incineration of waste: Wood,13912155.61626359
EU27,Activity,Inland water transport,6762.621619361211
EU27,Activity,"Insurance and pension funding, except compulsory social security (66)",225357.08811868267
EU27,Activity,Landfill of waste: Food,14917139.941201167
EU27,Activity,Landfill of waste: Inert/metal/hazardous,1087505021.841291
EU27,Activity,Landfill of waste: Paper,6046869.289674038
EU27,Activity,Landfill of waste: Plastic,17586032.26999154
EU27,Activity,Landfill of waste: Textiles,1605979.5420693834
EU27,Activity,Landfill of waste: Wood,7366517.3650560435
EU27,Activity,"Lead, zinc and tin production",3450345.051847064
EU27,Activity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,171407800.51925638
EU27,Activity,Manufacture of beverages,9897271.534764038
EU27,Activity,"Manufacture of bricks, tiles and construction products, in baked clay",30965892.52891998
EU27,Activity,"Manufacture of cement, lime and plaster",91729860.04748224
EU27,Activity,Manufacture of ceramic goods,10178439.937526029
EU27,Activity,Manufacture of coke oven products,49770172.717600554
EU27,Activity,Manufacture of electrical machinery and apparatus n.e.c. (31),32677442.10601972
EU27,Activity,"Manufacture of fabricated metal products, except machinery and equipment (28)",110596124.46985558
EU27,Activity,Manufacture of fish products,393346.5450090841
EU27,Activity,Manufacture of furniture; manufacturing n.e.c. (36),27132672.23378084
EU27,Activity,Manufacture of gas;,617916.6674765795
EU27,Activity,Manufacture of glass and glass products,27978765.81153638
EU27,Activity,Manufacture of machinery and equipment n.e.c. (29),73045060.40545256
EU27,Activity,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",8081303.638105404
EU27,Activity,"Manufacture of motor vehicles, trailers and semi-trailers (34)",651345.3247204742
EU27,Activity,Manufacture of office machinery and computers (30),1530558.0568731516
EU27,Activity,Manufacture of other non-metallic mineral products n.e.c.,72618534.61881816
EU27,Activity,Manufacture of other transport equipment (35),183879.2131932965
EU27,Activity,"Manufacture of radio, television and communication equipment and apparatus (32)",7127612.9280382
EU27,Activity,Manufacture of rubber and plastic products (25),18931594.74404999
EU27,Activity,Manufacture of textiles (17),1961672.344535324
EU27,Activity,Manufacture of tobacco products (16),441833.1980794013
EU27,Activity,Manufacture of wearing apparel; dressing and dyeing of fur (18),627967.2091406323
EU27,Activity,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",61285373.16253413
EU27,Activity,Manufacturing of electrolyser,0.0
EU27,Activity,Manufacturing of steam reformer,3.2703375837498627e-10
EU27,Activity,"Manure treatment (biogas), storage and land application",0.0
EU27,Activity,"Manure treatment (conventional), storage and land application",183914330.06912738
EU27,Activity,Meat animals nec,917267.6623437782
EU27,Activity,Mining of aluminium ores and concentrates,639670.7568942518
EU27,Activity,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",114234571.5822371
EU27,Activity,Mining of coal and lignite; extraction of peat (10),555263456.9939337
EU27,Activity,Mining of copper ores and concentrates,796257.3159222478
EU27,Activity,Mining of iron ores,19841347.00244451
EU27,Activity,"Mining of lead, zinc and tin ores and concentrates",954564.4336729567
EU27,Activity,Mining of nickel ores and concentrates,40830.39289159259
EU27,Activity,Mining of other non-ferrous metal ores and concentrates,328627.07692975143
EU27,Activity,Mining of precious metal ores and concentrates,1732.2002360861957
EU27,Activity,Mining of uranium and thorium ores (12),380.5591198975893
EU27,Activity,N-fertiliser,10769132.12083095
EU27,Activity,Other business activities (74),1544822.6819422438
EU27,Activity,Other land transport,470757.2916312809
EU27,Activity,Other non-ferrous metal production,1818234.8902476602
EU27,Activity,Other service activities (93),130167.58228321915
EU27,Activity,P- and other fertiliser,5715440.508977861
EU27,Activity,Paper,27346102.4881524
EU27,Activity,Petroleum Refinery,674947002.754509
EU27,Activity,Pigs farming,14538223.169345414
EU27,Activity,"Plastics, basic",52399451.81201743
EU27,Activity,Post and telecommunications (64),508491.89200645866
EU27,Activity,Poultry farming,8338440.852352068
EU27,Activity,Precious metals production,1895.8171120571049
EU27,Activity,Private households with employed persons (95),69855.28103893978
EU27,Activity,Processed rice,2097723.5540590454
EU27,Activity,Processing of Food products nec,87996190.37956305
EU27,Activity,Processing of dairy products,15353187.73178893
EU27,Activity,Processing of meat cattle,3085394.142054014
EU27,Activity,Processing of meat pigs,13216788.077153198
EU27,Activity,Processing of meat poultry,3937463.3242625915
EU27,Activity,Processing of nuclear fuel,8656476.537462013
EU27,Activity,Processing vegetable oils and fats,47465934.05015029
EU27,Activity,Production of electricity by Geothermal,20511.690000120903
EU27,Activity,Production of electricity by biomass and waste,128921.61772257925
EU27,Activity,Production of electricity by coal,2420199.8540126737
EU27,Activity,Production of electricity by gas,1718551.9788962048
EU27,Activity,Production of electricity by hydro,1098462.3460273782
EU27,Activity,Production of electricity by nuclear,3012714.195511822
EU27,Activity,Production of electricity by petroleum and other oil derivatives,219244.93931684084
EU27,Activity,Production of electricity by solar photovoltaic,160775.02923281732
EU27,Activity,Production of electricity by solar thermal,4652.333545542173
EU27,Activity,"Production of electricity by tide, wave, ocean",1919.8697996499473
EU27,Activity,Production of electricity by wind,588610.4571094871
EU27,Activity,Production of electricity nec,2876.7891824918242
EU27,Activity,Production of meat products nec,720098.5663598801
EU27,Activity,Public administration and defence; compulsory social security (75),977814.1758372115
EU27,Activity,"Publishing, printing and reproduction of recorded media (22)",2532445.4429877
EU27,Activity,Pulp,31463199.495232344
EU27,Activity,Quarrying of sand and clay,1513017526.0922215
EU27,Activity,Quarrying of stone,1192554940.2493958
EU27,Activity,Raw milk,17496038.081951443
EU27,Activity,Re-processing of ash into clinker,37958959.95782231
EU27,Activity,Re-processing of secondary aluminium into new aluminium,4639339.145530479
EU27,Activity,Re-processing of secondary construction material into aggregates,392049623.87626636
