Region,Level,Item,production
China,Activity,Transport via railways,38569.787610916894
China,Activity,"Waste water treatment, food",781938.0983123459
China,Activity,"Waste water treatment, other",79366204.5741693
China,Activity,"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)",282089.4212300866
China,Activity,"Wool, silk-worm cocoons",0.0
EU27,Activity,Activities auxiliary to financial intermediation (67),173108.59609082254
EU27,Activity,Activities of membership organisation n.e.c. (91),216562.30995243418
EU27,Activity,Air transport (62),129265.86860427615
EU27,Activity,Aluminium production,2346754.4262637054
EU27,Activity,Animal products nec,155931.09355975827
EU27,Activity,"Biogasification of food waste, incl. land application",1097565.531379816
EU27,Activity,"Biogasification of paper, incl. land application",133199.75537785323
EU27,Activity,"Biogasification of sewage slugde, incl. land application",3804805.4200404193
EU27,Activity,Blast furnace gas production,0.0
EU27,Activity,Casting of metals,12970938.942777488
EU27,Activity,Cattle farming,3916600.471390986
EU27,Activity,Chemicals nec,115018887.02895056
EU27,Activity,"Collection, purification and distribution of water (41)",49233.59025910131
EU27,Activity,"Composting of food waste, incl. land application",14978905.58482827
EU27,Activity,"Composting of paper and wood, incl. land application",63877.639749534166
EU27,Activity,Computer and related activities (72),379371.7068725972
EU27,Activity,Construction (45),1696108.491450951
EU27,Activity,Copper production,1999171.6106571457
EU27,Activity,Cultivation of cereal grains nec,124638799.91269788
EU27,Activity,Cultivation of crops nec,372948.086451309
EU27,Activity,Cultivation of oil seeds,24201249.624430425
EU27,Activity,Cultivation of paddy rice,2649643.8248017826
EU27,Activity,Cultivation of plant-based fibers,1066029.6858728696
EU27,Activity,"Cultivation of sugar cane, sugar beet",26160517.09364318
EU27,Activity,"Cultivation of vegetables, fruit, nuts",46833817.05307113
EU27,Activity,Cultivation of wheat,104981581.9722003
EU27,Activity,Distribution and trade of electricity,142086.92913258783
EU27,Activity,Distribution of gaseous fuels through mains,120377.60288927828
EU27,Activity,Education (80),703769.0726172567
EU27,Activity,Extra-territorial organizations and bodies,0.0
