Region,Level,Item,production
EU27,Activity,Landfill of waste: Wood,7366517.661477671
EU27,Activity,"Lead, zinc and tin production",3450345.1635592743
EU27,Activity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,171407841.01393703
EU27,Activity,Manufacture of beverages,9897271.63457172
EU27,Activity,"Manufacture of bricks, tiles and construction products, in baked clay",30965893.043888714
EU27,Activity,"Manufacture of cement, lime and plaster",91729861.63718139
EU27,Activity,Manufacture of ceramic goods,10178440.289669266
EU27,Activity,Manufacture of coke oven products,49770227.12621629
EU27,Activity,Manufacture of electrical machinery and apparatus n.e.c. (31),32677445.87748051
EU27,Activity,"Manufacture of fabricated metal products, except machinery and equipment (28)",110596131.67480242
EU27,Activity,Manufacture of fish products,393346.54568371724
EU27,Activity,Manufacture of furniture; manufacturing n.e.c. (36),27132672.701455705
EU27,Activity,Manufacture of gas;,617918.5820262425
EU27,Activity,Manufacture of glass and glass products,27978767.3650812
EU27,Activity,Manufacture of machinery and equipment n.e.c. (29),73045064.61970632
EU27,Activity,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",8081303.843336325
EU27,Activity,"Manufacture of motor vehicles, trailers and semi-trailers (34)",651345.3331128535
EU27,Activity,Manufacture of office machinery and computers (30),1530558.0841990667
EU27,Activity,Manufacture of other non-metallic mineral products n.e.c.,72618539.54894374
EU27,Activity,Manufacture of other transport equipment (35),183879.21656395614
EU27,Activity,"Manufacture of radio, television and communication equipment and apparatus (32)",7127613.091989139
EU27,Activity,Manufacture of rubber and plastic products (25),18931595.782428835
EU27,Activity,Manufacture of textiles (17),1961672.3636823772
EU27,Activity,Manufacture of tobacco products (16),441833.20016308106
EU27,Activity,Manufacture of wearing apparel; dressing and dyeing of fur (18),627967.2129893727
EU27,Activity,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",61285375.73946533
EU27,Activity,Manufacturing of electrolyser,0.0
EU27,Activity,Manufacturing of steam reformer,0.0
EU27,Activity,"Manure treatment (biogas), storage and land application",0.0
EU27,Activity,"Manure treatment (conventional), storage and land application",183914330.86745095
EU27,Activity,Meat animals nec,917267.666235486
EU27,Activity,Mining of aluminium ores and concentrates,639670.7781361861
EU27,Activity,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",114234578.09995636
EU27,Activity,Mining of coal and lignite; extraction of peat (10),555265567.4448227
EU27,Activity,Mining of copper ores and concentrates,796257.347535883
EU27,Activity,Mining of iron ores,19841356.773418147
EU27,Activity,"Mining of lead, zinc and tin ores and concentrates",954564.4503988812
EU27,Activity,Mining of nickel ores and concentrates,40830.39464124601
EU27,Activity,Mining of other non-ferrous metal ores and concentrates,328627.0916991815
EU27,Activity,Mining of precious metal ores and concentrates,1732.2003263670017
EU27,Activity,Mining of uranium and thorium ores (12),380.5604019971708
EU27,Activity,N-fertiliser,10769132.199214984
EU27,Activity,Other business activities (74),1544822.7801769436
EU27,Activity,Other land transport,470757.3560981689
EU27,Activity,Other non-ferrous metal production,1818234.972220924
EU27,Activity,Other service activities (93),130167.58368433759
EU27,Activity,P- and other fertiliser,5715440.549680628
EU27,Activity,Paper,27346103.7022855
EU27,Activity,Petroleum Refinery,674947129.1552793
EU27,Activity,Pigs farming,14538223.21446799
EU27,Activity,"Plastics, basic",52399457.61337311
EU27,Activity,Post and telecommunications (64),508491.91538893234
EU27,Activity,Poultry farming,8338440.870862143
EU27,Activity,Precious metals production,1895.8172256400305
EU27,Activity,Private households with employed persons (95),69855.2810383902
EU27,Activity,Processed rice,2097723.568365628
EU27,Activity,Processing of Food products nec,87996190.66038004
EU27,Activity,Processing of dairy products,15353187.792353027
EU27,Activity,Processing of meat cattle,3085394.161840774
EU27,Activity,Processing of meat pigs,13216788.118277725
EU27,Activity,Processing of meat poultry,3937463.3312434247
EU27,Activity,Processing of nuclear fuel,8656513.389912715
EU27,Activity,Processing vegetable oils and fats,47465934.48406248
EU27,Activity,Production of electricity by Geothermal,20511.85743884066
EU27,Activity,Production of electricity by biomass and waste,128922.6701209284
EU27,Activity,Production of electricity by coal,2420210.8133214167
EU27,Activity,Production of electricity by gas,1718559.7609566525
EU27,Activity,Production of electricity by hydro,1098471.3128715984
EU27,Activity,Production of electricity by nuclear,3012727.021273071
EU27,Activity,Production of electricity by petroleum and other oil derivatives,219245.93211616468
EU27,Activity,Production of electricity by solar photovoltaic,160776.3416534448
EU27,Activity,Production of electricity by solar thermal,4652.371522947872
EU27,Activity,"Production of electricity by tide, wave, ocean",1919.8854717150657
EU27,Activity,Production of electricity by wind,588615.2619881382
EU27,Activity,Production of electricity nec,2876.812666035284
EU27,Activity,Production of meat products nec,720098.5687174096
EU27,Activity,Public administration and defence; compulsory social security (75),977814.1805313014
EU27,Activity,"Publishing, printing and reproduction of recorded media (22)",2532445.5121067865
EU27,Activity,Pulp,31463200.41897203
EU27,Activity,Quarrying of sand and clay,1513017551.6892292
EU27,Activity,Quarrying of stone,1192554963.9109704
EU27,Activity,Raw milk,17496038.1543589
EU27,Activity,Re-processing of ash into clinker,37959025.25308764
EU27,Activity,Re-processing of secondary aluminium into new aluminium,4639339.416984852
EU27,Activity,Re-processing of secondary construction material into aggregates,392049638.7608796
EU27,Activity,Re-processing of secondary copper into new copper,899644.1620164078
EU27,Activity,Re-processing of secondary glass into new glass,23334661.419784315
EU27,Activity,Re-processing of secondary lead into new lead,1844218.8526462556
EU27,Activity,Re-processing of secondary other non-ferrous metals into new other non-ferrous metals,429324.7436076661
EU27,Activity,Re-processing of secondary paper into new pulp,33657279.67879211
EU27,Activity,Re-processing of secondary plastic into new plastic,9278665.48582001
EU27,Activity,Re-processing of secondary preciuos metals into new preciuos metals,1730.6955700524804
EU27,Activity,Re-processing of secondary steel into new steel,174337457.9522077
EU27,Activity,Re-processing of secondary wood material into new wood material,18072280.304426994
EU27,Activity,Real estate activities (70),1450171.8998579131
EU27,Activity,"Recreational, cultural and sporting activities (92)",452819.7616029261
EU27,Activity,Recycling of bottles by direct reuse,33448587.925593913
EU27,Activity,Recycling of waste and scrap,26504.887121948905
EU27,Activity,Renting of machinery and equipment without operator and of personal and household goods (71),284740.65199507214
EU27,Activity,Research and development (73),162269.18250023638
EU27,Activity,Retail sale of automotive fuel,26334.974297830824
EU27,Activity,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",104103.45352248644
EU27,Activity,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",221058.7982822202
EU27,Activity,Sea and coastal water transport,89691.1975011524
EU27,Activity,Steam and hot water supply,3031416.2295213323
EU27,Activity,Sugar refining,21511607.634611063
EU27,Activity,Supporting and auxiliary transport activities; activities of travel agencies (63),575351.2061095986
EU27,Activity,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)",432787.20978281874
