Region,EU27,RoW,China,India,Russia,USA
Level,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category
Item,Final consumption,Final consumption,Final consumption,Final consumption,Final consumption,Final consumption
Item,,,,,,
Benzene (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
"1,3 Butadiene (air - Emis_unreg_w)",0.0,0.0,0.0,0.0,0.0,0.0
Formaldehyd (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
PM2.5 (air - Emis_unreg_w),25.74146249818704,210.8872328996842,48.28738766029554,87.61582604766963,15.059187169641918,36.05383890754256
Furans (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
Benzo-[a]-pyrene (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
PBDEs (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
Benzo-[b]-fluoranthene (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
Benzo-[k]-fluoranthene (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
"Indeno-[1,2,3-cd]-pyrene (air - Emis_unreg_w)",0.0,0.0,0.0,0.0,0.0,0.0
HCB (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
PCDD/F (dioxins and furans) (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
TSP (total suspended particulate) (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
N (water - Emis_unreg_w),84918.43563616356,695413.8382680523,159506.5632386427,288828.30400393996,49643.08032111803,118852.60476735936
P (water - Emis_unreg_w),14.430041953614516,118.21957118465835,27.066409995058706,49.116634052529726,8.442043163953324,20.21145369571884
BOD (water - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
N (soil - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
P (soil - Emis_unreg_w),483.15761161929987,3958.317366217354,906.2580725931725,1644.5604022415982,282.6628935240923,676.7352254669997
Cd (soil - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
Cu (soil - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
Zn (soil - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
Pb (soil - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
Hg (soil - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
Cr (soil - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
Ni (soil - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
C (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
other emissions (undef - Emis_unreg_w),1549357.1944967366,12693269.90737794,2906511.243228871,5273591.689777333,906411.6369731738,2170078.556408399
"Carbon dioxide, biogenic (air - Emis_unreg_w)",3730703.3632917427,30564292.9006305,6998044.385860809,12698479.12299263,2182582.5596724213,5225413.504910377
Other emissions nec (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
Food (waste_sup),30573593.184170097,178277917.0236672,56151335.99045149,57637249.49802794,9504855.514686137,19988794.831725053
Manure (waste_sup),0.0,0.0,0.0,0.0,0.0,0.0
Textile (waste_sup),390589.6675369699,1375044.5275954795,491486.98961720977,123193.82475982702,74656.72867434467,214466.0407683822
Wood (waste_sup),170841.74579712786,463335.6033583437,69340.46003895959,124814.47288906925,18823.65932234327,72720.51080181907
Paper (waste_sup),3280172.0381313018,7898439.727243085,5352914.925135978,1432942.4342017055,1089447.7488948193,4865491.139234549
Plastics (waste_sup),21833768.416729026,28738283.379029103,11952400.87324581,2545219.4077282976,4388234.3464388205,6605967.191270523
Glass (waste_sup),9598658.488719441,3553736.174165356,697624.2919475171,5697.89784908444,286821.56450647756,2341188.550804122
Ashes (waste_sup),1907074.9023379453,6158846.578556335,7372049.66423466,2286272.106945448,283493.5455626224,193888.8397719399
Steel (waste_sup),230519.3750205272,581165.1800403603,202722.95362199837,51292.19639564237,134194.33890048927,133166.94029480612
Precious metals (waste_sup),3.5199317093566753,29.26011649381533,8.055224257184776,0.5720050265961008,0.13415421379926018,11.102563806645138
Aluminium (waste_sup),29287.128429195007,102721.44606107369,12288.984448871448,1114.1744871945548,40621.9125299335,304490.16774812725
Lead (waste_sup),1684.010048322674,4308.356881187901,528.0101290470493,34.0687307698861,116.68200810172785,2433.2935456003675
Copper (waste_sup),1004.8741801663377,4693.457194963372,1604.7110742250875,239.36958304810284,715.5010954408795,925.7058931158472
non-ferrous metals (waste_sup),4351.667525891666,21357.058856466065,3041.4996618841687,454.0125118856113,909.9534901218849,3781.206010488452
Construction materials and mining waste (excl. unused mining material) (waste_sup),45987.83431698628,71532.74698466134,1324.4865796970157,658.990326650779,9605.589873357594,13753.99380547843
Oils and hazardous materials (waste_sup),956769.5113063212,5074092.278881854,60257.74010545928,6710.209608702879,2136.3900602750223,27431.53798821716
Sewage (waste_sup),25662555.290097114,125445802.17777108,40208851.72273819,42680471.84408727,7816230.713048717,17110465.67044438
Mining waste (waste_sup),0.0,0.0,0.0,0.0,0.0,0.0
Unused waste (waste_sup),0.0,0.0,0.0,0.0,0.0,0.0
Food (waste_use),0.0,0.0,0.0,0.0,0.0,0.0
Manure (waste_use),0.0,0.0,0.0,0.0,0.0,0.0
Textile (waste_use),0.0,0.0,0.0,0.0,0.0,0.0
Wood (waste_use),0.0,0.0,0.0,0.0,0.0,0.0
Paper (waste_use),0.0,0.0,0.0,0.0,0.0,0.0
Plastics (waste_use),0.0,0.0,0.0,0.0,0.0,0.0
Glass (waste_use),0.0,0.0,0.0,0.0,0.0,0.0
Ashes (waste_use),0.0,0.0,0.0,0.0,0.0,0.0
Steel (waste_use),0.0,0.0,0.0,0.0,0.0,0.0
Precious metals (waste_use),0.0,0.0,0.0,0.0,0.0,0.0
Aluminium (waste_use),0.0,0.0,0.0,0.0,0.0,0.0
Lead (waste_use),0.0,0.0,0.0,0.0,0.0,0.0
Copper (waste_use),0.0,0.0,0.0,0.0,0.0,0.0
non-ferrous metals (waste_use),0.0,0.0,0.0,0.0,0.0,0.0
Construction materials and mining waste (excl. unused mining material) (waste_use),0.0,0.0,0.0,0.0,0.0,0.0
Oils and hazardous materials (waste_use),0.0,0.0,0.0,0.0,0.0,0.0
Sewage (waste_use),0.0,0.0,0.0,0.0,0.0,0.0
Mining waste (waste_use),0.0,0.0,0.0,0.0,0.0,0.0
Unused waste (waste_use),0.0,0.0,0.0,0.0,0.0,0.0
Food (pack_sup_waste),0.0,0.0,0.0,0.0,0.0,0.0
Manure (pack_sup_waste),0.0,0.0,0.0,0.0,0.0,0.0
Textile (pack_sup_waste),0.0,0.0,0.0,0.0,0.0,0.0
Wood (pack_sup_waste),0.0,0.0,0.0,0.0,0.0,0.0
Paper (pack_sup_waste),0.0,0.0,0.0,0.0,0.0,0.0
Plastics (pack_sup_waste),0.0,0.0,0.0,0.0,0.0,0.0
Glass (pack_sup_waste),0.0,0.0,0.0,0.0,0.0,0.0
Ashes (pack_sup_waste),0.0,0.0,0.0,0.0,0.0,0.0
Steel (pack_sup_waste),0.0,0.0,0.0,0.0,0.0,0.0
Precious metals (pack_sup_waste),0.0,0.0,0.0,0.0,0.0,0.0
Aluminium (pack_sup_waste),0.0,0.0,0.0,0.0,0.0,0.0
Lead (pack_sup_waste),0.0,0.0,0.0,0.0,0.0,0.0
Copper (pack_sup_waste),0.0,0.0,0.0,0.0,0.0,0.0
non-ferrous metals (pack_sup_waste),0.0,0.0,0.0,0.0,0.0,0.0
Construction materials and mining waste (excl. unused mining material) (pack_sup_waste),0.0,0.0,0.0,0.0,0.0,0.0
Oils and hazardous materials (pack_sup_waste),0.0,0.0,0.0,0.0,0.0,0.0
Sewage (pack_sup_waste),0.0,0.0,0.0,0.0,0.0,0.0
Mining waste (pack_sup_waste),0.0,0.0,0.0,0.0,0.0,0.0
Unused waste (pack_sup_waste),0.0,0.0,0.0,0.0,0.0,0.0
Food (pack_use_waste),0.0,0.0,0.0,0.0,0.0,0.0
Manure (pack_use_waste),0.0,0.0,0.0,0.0,0.0,0.0
Textile (pack_use_waste),0.0,0.0,0.0,0.0,0.0,0.0
Wood (pack_use_waste),101084.36110566299,367275.353722419,22844.826219424755,29351.192418770133,16409.17572053548,37269.63473911419
Paper (pack_use_waste),1353163.3885414766,4582032.259866724,4957366.908488083,863162.8571734872,786271.1365754836,2704134.1119588926
Plastics (pack_use_waste),5653660.525171512,21739424.837307166,12775652.205576751,2638813.5631257524,3208834.0113997743,6815944.4353548465
Glass (pack_use_waste),9965703.93362957,3515901.9378344063,697046.7202138663,5613.736144404509,294613.5915043275,2288987.5461144387
Ashes (pack_use_waste),0.0,0.0,0.0,0.0,0.0,0.0
Steel (pack_use_waste),48574.59298539951,91704.66171720864,1503.2808926370808,1553.340863607797,26716.773335158072,5090.423150978811
Precious metals (pack_use_waste),0.0,0.0,0.0,0.0,0.0,0.0
Aluminium (pack_use_waste),23878.621038406538,86619.12390790442,5784.149849880492,505.5274881806077,39589.48665096224,296860.39400291065
Lead (pack_use_waste),0.0,0.0,0.0,0.0,0.0,0.0
Copper (pack_use_waste),0.0,0.0,0.0,0.0,0.0,0.0
non-ferrous metals (pack_use_waste),0.0,0.0,0.0,0.0,0.0,0.0
Construction materials and mining waste (excl. unused mining material) (pack_use_waste),0.0,0.0,0.0,0.0,0.0,0.0
Oils and hazardous materials (pack_use_waste),0.0,0.0,0.0,0.0,0.0,0.0
Sewage (pack_use_waste),0.0,0.0,0.0,0.0,0.0,0.0
Mining waste (pack_use_waste),0.0,0.0,0.0,0.0,0.0,0.0
Unused waste (pack_use_waste),0.0,0.0,0.0,0.0,0.0,0.0
Food (mach_sup_waste),0.0,0.0,0.0,0.0,0.0,0.0
Manure (mach_sup_waste),0.0,0.0,0.0,0.0,0.0,0.0
Textile (mach_sup_waste),0.0,0.0,0.0,0.0,0.0,0.0
Wood (mach_sup_waste),0.0,0.0,0.0,0.0,0.0,0.0
Paper (mach_sup_waste),0.0,0.0,0.0,0.0,0.0,0.0
Plastics (mach_sup_waste),2681689.094385364,11329412.87168526,5129674.318444066,434315.948115228,110271.21532228154,4503259.721503086
Glass (mach_sup_waste),115613.0650788454,204755.50910963275,92267.6918594017,6267.108354436446,1836.1924655637622,114631.18156085919
Ashes (mach_sup_waste),0.0,0.0,0.0,0.0,0.0,0.0
Steel (mach_sup_waste),10601460.040641585,30793821.230481837,22443408.549951892,5958530.028162818,213677.1272718747,7706764.3640550785
Precious metals (mach_sup_waste),2.433312055700928,9.9001353988374,1.8838661371096102,0.8269491892064197,0.0375687085816389,4.731594703279752
Aluminium (mach_sup_waste),397323.12862354046,989712.2242094788,370548.4111728462,38032.97433054172,9696.824764028135,407199.4804639554
Lead (mach_sup_waste),3152.7664608522055,4302.822148999245,1075.178361141359,201.8778478031851,37.11469280703025,3926.3761819228966
Copper (mach_sup_waste),25413.52864582949,103680.8628944587,16284.305774244065,5345.663944547996,680.3826477978878,25008.06833468561
non-ferrous metals (mach_sup_waste),9191.841616481244,32828.3734259547,7123.985678464425,2850.444021400488,127.66168075032027,7292.361308837229
Construction materials and mining waste (excl. unused mining material) (mach_sup_waste),0.0,0.0,0.0,0.0,0.0,0.0
Oils and hazardous materials (mach_sup_waste),20516.649625338483,23251.14464888131,20605.235354599445,3361.8160491391222,187.92422664759914,14803.604220602163
Sewage (mach_sup_waste),0.0,0.0,0.0,0.0,0.0,0.0
Mining waste (mach_sup_waste),0.0,0.0,0.0,0.0,0.0,0.0
Unused waste (mach_sup_waste),0.0,0.0,0.0,0.0,0.0,0.0
Food (mach_use_waste),0.0,0.0,0.0,0.0,0.0,0.0
Manure (mach_use_waste),0.0,0.0,0.0,0.0,0.0,0.0
Textile (mach_use_waste),0.0,0.0,0.0,0.0,0.0,0.0
Wood (mach_use_waste),0.0,0.0,0.0,0.0,0.0,0.0
Paper (mach_use_waste),0.0,0.0,0.0,0.0,0.0,0.0
Plastics (mach_use_waste),2681689.094385364,11329412.87168526,5129674.318444066,434315.948115228,110271.21532228154,4503259.721503086
Glass (mach_use_waste),115613.0650788454,204755.50910963275,92267.6918594017,6267.108354436446,1836.1924655637622,114631.18156085919
Ashes (mach_use_waste),0.0,0.0,0.0,0.0,0.0,0.0
Steel (mach_use_waste),10601460.040641585,30793821.230481837,22443408.549951892,5958530.028162818,213677.1272718747,7706764.3640550785
Precious metals (mach_use_waste),2.433312055700928,9.9001353988374,1.8838661371096102,0.8269491892064197,0.0375687085816389,4.731594703279752
Aluminium (mach_use_waste),397323.12862354046,989712.2242094788,370548.4111728462,38032.97433054172,9696.824764028135,407199.4804639554
Lead (mach_use_waste),3152.7664608522055,4302.822148999245,1075.178361141359,201.8778478031851,37.11469280703025,3926.3761819228966
Copper (mach_use_waste),25413.52864582949,103680.8628944587,16284.305774244065,5345.663944547996,680.3826477978878,25008.06833468561
non-ferrous metals (mach_use_waste),9191.841616481244,32828.3734259547,7123.985678464425,2850.444021400488,127.66168075032027,7292.361308837229
Construction materials and mining waste (excl. unused mining material) (mach_use_waste),0.0,0.0,0.0,0.0,0.0,0.0
Oils and hazardous materials (mach_use_waste),20516.649625338483,23251.14464888131,20605.235354599445,3361.8160491391222,187.92422664759914,14803.604220602163
Sewage (mach_use_waste),0.0,0.0,0.0,0.0,0.0,0.0
Mining waste (mach_use_waste),0.0,0.0,0.0,0.0,0.0,0.0
Unused waste (mach_use_waste),0.0,0.0,0.0,0.0,0.0,0.0
Food (stock_addition),0.0,0.0,0.0,0.0,0.0,0.0
Manure (stock_addition),0.0,0.0,0.0,0.0,0.0,0.0
Textile (stock_addition),4128748.750057162,18808318.601350717,4547493.540644386,5005386.436306472,944153.042351216,3353434.750324392
Wood (stock_addition),80523002.46484867,145229387.63971508,68798217.91093612,245188208.92029792,11255963.828280384,18778054.18992799
Paper (stock_addition),7010943.513266722,11944470.97564177,4093637.9006703706,2761667.600006087,977971.8572172576,7603098.589964461
Plastics (stock_addition),12560506.301263193,40503495.9009993,26144936.051615395,2646056.8077173224,1589879.2375793993,13453613.968591388
