Region,Level,Item,production
China,Activity,Hydrogen production with electrolysis,0.0
China,Activity,Hydrogen production with steam reforming,0.0
China,Activity,Incineration of waste: Food,677147.3541937179
China,Activity,Incineration of waste: Metals and Inert materials,501467.31174950954
China,Activity,Incineration of waste: Oil/Hazardous waste,2415782.9434903483
China,Activity,Incineration of waste: Paper,24262500.421944644
China,Activity,Incineration of waste: Plastic,66443333.69412959
China,Activity,Incineration of waste: Textiles,412800.06893416867
China,Activity,Incineration of waste: Wood,144388.2393896656
China,Activity,Inland water transport,3491.467203413761
China,Activity,"Insurance and pension funding, except compulsory social security (66)",124380.4634519222
China,Activity,Landfill of waste: Food,83179911.20868707
China,Activity,Landfill of waste: Inert/metal/hazardous,2205472265.954332
China,Activity,Landfill of waste: Paper,37727197.3726722
China,Activity,Landfill of waste: Plastic,9291536.555162055
China,Activity,Landfill of waste: Textiles,8824268.727985213
China,Activity,Landfill of waste: Wood,6544604.549178841
China,Activity,"Lead, zinc and tin production",9842412.61088029
China,Activity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,1237526326.481329
China,Activity,Manufacture of beverages,16608783.068503667
China,Activity,"Manufacture of bricks, tiles and construction products, in baked clay",45484848.5834756
China,Activity,"Manufacture of cement, lime and plaster",786137642.4269848
China,Activity,Manufacture of ceramic goods,9193729.557964018
China,Activity,Manufacture of coke oven products,473047236.9246626
China,Activity,Manufacture of electrical machinery and apparatus n.e.c. (31),179030520.6819648
China,Activity,"Manufacture of fabricated metal products, except machinery and equipment (28)",155296677.11334217
China,Activity,Manufacture of fish products,1987809.7652294813
China,Activity,Manufacture of furniture; manufacturing n.e.c. (36),72773267.39666878
China,Activity,Manufacture of gas;,6746895.712783057
China,Activity,Manufacture of glass and glass products,12760775.051433723
China,Activity,Manufacture of machinery and equipment n.e.c. (29),261031818.36104774
China,Activity,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",6967786.867613537
China,Activity,"Manufacture of motor vehicles, trailers and semi-trailers (34)",428444.0194502437
China,Activity,Manufacture of office machinery and computers (30),25612308.209197678
China,Activity,Manufacture of other non-metallic mineral products n.e.c.,107514485.48490278
China,Activity,Manufacture of other transport equipment (35),322700.1099342009
China,Activity,"Manufacture of radio, television and communication equipment and apparatus (32)",40548902.88422289
China,Activity,Manufacture of rubber and plastic products (25),83172405.88531815
China,Activity,Manufacture of textiles (17),24540720.61177644
China,Activity,Manufacture of tobacco products (16),1978998.8165712138
China,Activity,Manufacture of wearing apparel; dressing and dyeing of fur (18),8560007.904905783
China,Activity,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",84201298.23212528
China,Activity,Manufacturing of electrolyser,0.0
China,Activity,Manufacturing of steam reformer,0.0
China,Activity,"Manure treatment (biogas), storage and land application",0.0
China,Activity,"Manure treatment (conventional), storage and land application",277694287.021163
China,Activity,Meat animals nec,4948765.337919078
China,Activity,Mining of aluminium ores and concentrates,14342032.368563117
China,Activity,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",256473661.3670131
China,Activity,Mining of coal and lignite; extraction of peat (10),3369539142.074129
China,Activity,Mining of copper ores and concentrates,1294921.3007511632
China,Activity,Mining of iron ores,403417064.19291174
China,Activity,"Mining of lead, zinc and tin ores and concentrates",6583397.321347703
China,Activity,Mining of nickel ores and concentrates,89818.66597039656
